plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,0+30,2,0,30
102,1,100+0,4,100,0
103,1,200+60,9,200,60
104,1,200+30,8,200,30
105,1,0+60,3,0,60
106,1,200+0,7,200,0
107,1,100+60,6,100,60
108,1,100+30,5,100,30
109,1,0+0,1,0,0
201,2,100+30,5,100,30
202,2,200+30,8,200,30
203,2,0+60,3,0,60
204,2,0+30,2,0,30
205,2,100+60,6,100,60
206,2,100+0,4,100,0
207,2,200+0,7,200,0
208,2,0+0,1,0,0
209,2,200+60,9,200,60
301,3,0+0,1,0,0
302,3,200+60,9,200,60
303,3,100+30,5,100,30
304,3,100+0,4,100,0
305,3,100+60,6,100,60
306,3,200+0,7,200,0
307,3,0+60,3,0,60
308,3,200+30,8,200,30
309,3,0+30,2,0,30
401,4,100+0,4,100,0
402,4,100+30,5,100,30
403,4,100+60,6,100,60
404,4,200+30,8,200,30
405,4,0+60,3,0,60
406,4,0+0,1,0,0
407,4,200+60,9,200,60
408,4,0+30,2,0,30
409,4,200+0,7,200,0
